country_iso3	model_month	observed_cases	fitted_median	fitted_lower_95	fitted_upper_95	baseline_median	baseline_lower_95	baseline_upper_95	no_new_exposure_median	no_new_exposure_lower_95	no_new_exposure_upper_95	equal_lineage_median	equal_lineage_lower_95	equal_lineage_upper_95	l10207_reference_median	l10207_reference_lower_95	l10207_reference_upper_95
CHN	2019-08-01	4388	3349.69263298497	2770.41299965389	4093.97505002209	4388	4388	4388	4388	4388	4388	4388	4388	4388	4388	4388	4388
CHN	2019-09-01	3319	3806.77280901705	3143.36034493583	4675.44743762069	3319	3319	3319	3319	3319	3319	3319	3319	3319	3319	3319	3319
CHN	2019-10-01	1933	2834.29964035598	2351.23621717266	3465.17329796739	1933	1933	1933	1933	1933	1933	1933	1933	1933	1933	1933	1933
CHN	2019-11-01	1653	1663.52674348182	1388.99133274237	2022.02204590653	1653	1653	1653	1653	1653	1653	1653	1653	1653	1653	1653	1653
CHN	2019-12-01	1414	1397.80833953123	1167.34680806011	1690.29533516562	1414	1414	1414	1414	1414	1414	1414	1414	1414	1414	1414	1414
CHN	2020-01-01	1141	1182.03445372128	989.949148231608	1426.85224584821	1141	1141	1141	1141	1141	1141	1141	1141	1141	1141	1141	1141
CHN	2020-02-01	738	952.164729300876	798.118810073422	1156.23180050919	738	738	738	738	738	738	738	738	738	738	738	738
CHN	2020-03-01	874	625.075341346867	522.219284318483	758.940696366259	874	874	874	874	874	874	874	874	874	874	874	874
CHN	2020-04-01	479	736.55037077397	614.905867947724	896.180247014403	479	479	479	479	479	479	479	479	479	479	479	479
CHN	2020-05-01	277	417.900148599807	349.185638708892	509.016366098576	277	277	277	277	277	277	277	277	277	277	277	277
CHN	2020-06-01	159	250.001655502139	209.687463469488	303.540679463137	159	159	159	159	159	159	159	159	159	159	159	159
CHN	2020-07-01	142	148.554777531061	125.306055164745	179.071279935241	142	142	142	142	142	142	142	142	142	142	142	142
CHN	2020-08-01	142	136.700087477179	115.506424498939	164.359581992423	142	142	142	142	142	142	142	142	142	142	142	142
CHN	2020-09-01	201	141.104787391256	119.297482691812	169.546235535154	201	201	201	201	201	201	201	201	201	201	201	201
CHN	2020-10-01	267	205.302838634234	172.660087971386	246.579845949688	267	267	267	267	267	267	267	267	267	267	267	267
CHN	2020-11-01	291	280.28000395483	234.60261817914	337.327523362131	291	291	291	291	291	291	291	291	291	291	291	291
CHN	2020-12-01	294	315.885058662216	263.698562632483	379.307183785578	294	294	294	294	294	294	294	294	294	294	294	294
CHN	2021-01-01	205	329.582795717469	276.653435324517	395.369722567061	205	205	205	205	205	205	205	205	205	205	205	205
CHN	2021-02-01	115	239.314717329713	202.453636498517	285.892456634214	115	115	115	115	115	115	115	115	115	115	115	115
CHN	2021-03-01	220	139.762311082613	118.446504084862	166.468812699422	220	220	220	220	220	220	220	220	220	220	220	220
CHN	2021-04-01	308	271.805506054263	229.629346682777	323.021407226525	308	308	308	308	308	308	308	308	308	308	308	308
CHN	2021-05-01	427	386.458724783962	325.878705641851	462.586933585172	427	427	427	427	427	427	427	427	427	427	427	427
CHN	2021-06-01	519	541.042348277901	453.404072247697	650.691927267098	519	519	519	519	519	519	519	519	519	519	519	519
CHN	2021-07-01	820	664.060602578742	555.296537704514	804.46166412417	820	820	820	820	820	820	820	820	820	820	820	820
CHN	2021-08-01	1227	1040.21853644597	869.744566094885	1261.58776817897	1227	1227	1227	1227	1227	1227	1227	1227	1227	1227	1227	1227
CHN	2021-09-01	1094	1533.15430965942	1288.11126815465	1853.37142602379	1094	1094	1094	1094	1094	1094	1094	1094	1094	1094	1094	1094
CHN	2021-10-01	825	1383.99648144436	1165.16151348812	1657.22226128206	825	825	825	825	825	825	825	825	825	825	825	825
CHN	2021-11-01	1148	1057.47945265556	889.516393533644	1267.84325251411	1148	1148	1148	1148	1148	1148	1148	1148	1148	1148	1148	1148
CHN	2021-12-01	2254	1437.70573255547	1208.50299895264	1718.6623922198	2254	2254	2254	2254	2254	2254	2254	2254	2254	2254	2254	2254
CHN	2022-01-01	2354	2668.07574585635	2251.1993969986	3193.65419174417	2354	2354	2354	2354	2354	2354	2354	2354	2354	2354	2354	2354
CHN	2022-02-01	2576	2733.4998718728	2295.09487884489	3271.61199922668	2576	2576	2576	2576	2576	2576	2576	2576	2576	2576	2576	2576
CHN	2022-03-01	3747	2903.36831740645	2431.59711978783	3474.32146705657	3747	3747	3747	3747	3747	3747	3747	3747	3747	3747	3747	3747
CHN	2022-04-01	3415	3990.35868342726	3347.71914977047	4764.31389244589	3415	3415	3415	3415	3415	3415	3415	3415	3415	3415	3415	3415
