project_id	run_accession	sample_accession	collection_date	country	first_public	comparison_status	gapfill_success_n	gapfill_success_runs	qc_decision	qc_reason	checkm_completeness	checkm_contamination	nas_match_status
PRJNA1071282	SRR27796167	SAMN39683415	2022	China: Shanghai	2024-09-29	matched_external_gapfill_planned_only	0						paper_comparison
PRJNA1071282	SRR27796168	SAMN39683414	2022	China: Shanghai	2024-09-29	matched_external_gapfill_planned_only	0						paper_comparison
PRJNA1071282	SRR27796169	SAMN39683413	2022	China: Shanghai	2024-09-29	matched_external_gapfill_planned_only	0						paper_comparison
PRJNA1071282	SRR27796170	SAMN39682909	2017	China: Shanghai	2024-09-29	matched_external_gapfill_planned_only	0						paper_comparison
PRJNA1071282	SRR27796171	SAMN39683412	2022	China: Shanghai	2024-09-29	matched_external_gapfill_success	1	SRR27796171	pass	checkm_thresholds_passed	100.00	0.00	paper_comparison;raw_read_qc
PRJNA1071282	SRR27796172	SAMN39683411	2022	China: Shanghai	2024-09-29	matched_external_gapfill_planned_only	0						paper_comparison
PRJNA1071282	SRR27796173	SAMN39683410	2022	China: Shanghai	2024-09-29	matched_external_gapfill_planned_only	0						paper_comparison
PRJNA1071282	SRR27796174	SAMN39683409	2022	China: Shanghai	2024-09-29	matched_external_gapfill_planned_only	0						paper_comparison
PRJNA1071282	SRR27796175	SAMN39683375	2022	China: Shanghai	2024-09-29	matched_external_gapfill_planned_only	0						paper_comparison
PRJNA1071282	SRR27796176	SAMN39683374	2022	China: Shanghai	2024-09-29	matched_external_gapfill_success	1	SRR27796176					paper_comparison
